Date,AAPL,MSFT,AMZN,GOOGL,META,XOM,BRK.B,JPM,JNJ,WMT
2021-05-07 00:00:00-04:00,0.0,0.13195573267003075,0.13061435781357247,0.0,0.0006304952404450308,0.0,0.0,0.0,0.36625078277399525,0.3705486315019565
2021-05-14 00:00:00-04:00,0.0,0.12621519232263817,0.16652407506339056,0.0,0.0,0.0,0.0,0.0,0.3354033079389359,0.37185742467503535
2021-05-21 00:00:00-04:00,0.0,0.11265143531993511,0.15658392447788336,0.0,0.09403068272205316,0.0308239043694414,0.0,0.0,0.27870371958838375,0.32720633352230316
2021-05-28 00:00:00-04:00,0.0,0.08093126049860487,0.1520828922471799,0.0,0.0,0.0713659500448889,0.0,0.0,0.3448558891796132,0.35076400802971314
2021-06-04 00:00:00-04:00,0.0,0.053394508092931336,0.16281929563657496,0.0,0.0,0.10151035943951636,0.0,0.0,0.35412032134082355,0.32815551549015376
2021-06-11 00:00:00-04:00,0.0,0.08270388073886081,0.20201074697444796,0.0,0.0,0.012404392842177125,0.0,0.0,0.3440422578899972,0.3588387215545169
2021-06-18 00:00:00-04:00,0.0,0.10104308621931898,0.13320670867537135,0.0,0.0018858883752821988,0.017805364854234867,0.0,0.0,0.376698330094116,0.36936062178167656
2021-06-25 00:00:00-04:00,0.0,0.12253407660855009,0.2544129669151859,0.0,0.0,0.0,0.0,0.0,0.2912677076919164,0.3317852487843476
2021-07-02 00:00:00-04:00,0.0,0.12022624713338874,0.29122665471794695,0.0,0.0,0.0,0.0,0.0,0.2728521465913543,0.3156949515573099
2021-07-09 00:00:00-04:00,0.0,0.1356460503565729,0.2879938802376596,0.0,0.0016510402585389644,0.0,0.0,0.0,0.22949873543737104,0.3452102937098575
2021-07-16 00:00:00-04:00,0.0,0.0,0.2693027406467711,0.0,0.0,0.0,0.0,0.0,0.3181974233657805,0.4124998359874484
2021-07-23 00:00:00-04:00,0.0,0.0,0.25339461129349,0.0,0.0,0.030459031531475014,0.0,0.0,0.30956051697962556,0.40658584019540944
2021-07-30 00:00:00-04:00,0.0,0.003551532109680652,0.38625114692626894,0.0,0.0,0.0,0.0,0.0,0.2510220449824079,0.3591752759816425
2021-08-06 00:00:00-04:00,0.09199508267785769,0.021949131969162716,0.4056033591903509,0.0,0.0,0.0,0.0,0.0,0.2014338695116414,0.27901855665098735
