Date,Strategy_Value,Benchmark_Value
2019-08-19 00:00:00-04:00,102237.82681111793,97885.11520562811
2019-08-26 00:00:00-04:00,99045.75807089466,95571.36641416888
2019-09-02 00:00:00-04:00,98045.28830810069,93137.84133775701
2019-09-09 00:00:00-04:00,100024.55947625187,95210.60082549653
2019-09-16 00:00:00-04:00,105953.87645035223,101197.08464619568
2019-09-23 00:00:00-04:00,109531.8944688309,104099.81236615338
2019-09-30 00:00:00-04:00,107591.48599458305,101979.79277800706
2019-10-07 00:00:00-04:00,105428.44009735213,97931.46884510803
2019-10-14 00:00:00-04:00,101303.72055582177,93833.43783555589
2019-10-21 00:00:00-04:00,104612.64863171111,96648.56007894494
2019-10-28 00:00:00-04:00,107334.48215814386,98781.43341908927
2019-11-04 00:00:00-05:00,108377.55452903498,99816.71947393562
2019-11-11 00:00:00-05:00,111986.57219864387,102687.90843158025
2019-11-18 00:00:00-05:00,111073.40671255291,100370.71929833174
2019-11-25 00:00:00-05:00,108946.64600413613,98244.94975065735
2019-12-02 00:00:00-05:00,108890.78738987775,99145.4739251458
2019-12-09 00:00:00-05:00,106601.72118567946,97111.41304926209
2019-12-16 00:00:00-05:00,110152.12452051173,101145.86831592252
2019-12-23 00:00:00-05:00,111971.21709265091,103437.1408647591
2019-12-30 00:00:00-05:00,113440.29354220258,105785.07080277405
2020-01-06 00:00:00-05:00,113895.13665507107,106709.87648111567
2020-01-13 00:00:00-05:00,116178.5368617432,109930.87048341092
2020-01-20 00:00:00-05:00,113885.1563309843,108102.78730738952
2020-01-27 00:00:00-05:00,110783.0673590877,104902.88048039714
2020-02-03 00:00:00-05:00,107087.30306889981,99811.17130881993
2020-02-10 00:00:00-05:00,102563.23461896105,95215.62007180703
2020-02-17 00:00:00-05:00,104098.08170407073,96641.65291141471
2020-02-24 00:00:00-05:00,103629.9952689958,96725.02747595296
2020-03-02 00:00:00-05:00,94754.612403589,88121.66432200713
2020-03-09 00:00:00-04:00,89670.01097728101,82405.36970489428
2020-03-16 00:00:00-04:00,70269.44564808592,59539.86612065956
2020-03-23 00:00:00-04:00,50510.433967006364,42953.84382423021
2020-03-30 00:00:00-04:00,55653.77169376806,47062.048672219935
2020-04-06 00:00:00-04:00,62798.451742290374,52341.82705822127
2020-04-13 00:00:00-04:00,65764.27894290267,57271.67680170513
2020-04-20 00:00:00-04:00,66508.29772540557,57924.660825797124
2020-04-27 00:00:00-04:00,61099.97197158072,53727.39152610773
2020-05-04 00:00:00-04:00,61099.97197158072,61071.3732457063
2020-05-11 00:00:00-04:00,61099.97197158072,61870.90417933533
2020-05-18 00:00:00-04:00,60269.235097589735,62131.27786737175
2020-05-25 00:00:00-04:00,61345.44691804827,63243.95951722297
2020-06-01 00:00:00-04:00,63730.73124783188,65554.39192049373
2020-06-08 00:00:00-04:00,67327.35007108116,68739.36853942726
2020-06-15 00:00:00-04:00,75709.2773013366,78630.95408268542
2020-06-22 00:00:00-04:00,69124.7103718126,71656.10250484044
2020-06-29 00:00:00-04:00,68206.1309243479,70029.63720317294
